Sentiment,Time,Text,Cleaned Text,Label
positive,7/7/21,These chips are the only ones I found to be tasty and healthy. They have fewer fat calories plus higher fiber for those who want good taste and nutrition--the perfect blend!,chip one find tasty healthy few fat calorie plus high fiber want good taste nutrition perfect blend,1
positive,27/6/21,"I used to buy these at the local supermarket, but they are no longer carried there.  Finding them on Amazon I purchased a box and found they were fresh and delicious as I remembered.  For chips they are also very healthy.  I definately will buy them again.",use buy local supermarket longer carry find amazon purchase box find fresh delicious remember chip also healthy definately buy,1
positive,21/7/21,"I've been feeding liver biscotti for years. I was looking for a healthy treat without additives for my epileptic dog (additives can be a seizure trigger) and liver biscotti filled the bill. The ingredients are top-quality. The bite-size bits are perfect for training and don't muck up your pockets. The bite-size portions also make it possible to give rewards without adding pounds, which is a problem with other treats.  And for dogs with wheat and other sensitivities, there is an anti-allergenic recipe. Enthusiastically recommended!",feed liver biscotti year look healthy treat without additive epileptic dog additives seizure trigger liver biscotti fill bill ingredients bit perfect train muck pocket portion also make possible give reward without add pound problem treat dog wheat sensitivity recipe enthusiastically recommend,1
positive,18/6/21,"I got these for my gf as she isn't supposed to eat any gluten.  All of the flavors taste great and they seem to be much healthier than regular potato chips.  If you are looking for a gluten-free snack, I highly recommend Popchips!",get gf suppose eat gluten flavor taste great seem much healthy regular potato chip look snack highly recommend popchips,1
positive,7/7/21,"I have a free sampling of these chips and I can see me swapping them for my regular chip cravings. They remind me of Munchos, but are less greasy. Try them.",free sample chip see swap regular chip craving remind munchos less greasy try,1
positive,30/6/21,"I tried this chips in a hotel that I stayed at, and loved them! I ordered them for the office and everyone enjoyed them. I'm on my second order!",tried chip hotel stay love ordered office everyone enjoy second order,1
positive,1/7/21,"I absolutely love Pop Chips as a healthy alternative to regular, fatty chips.  The Seat Salt and Pepper and the Sour Cream and Onion are my favorites.  I don't crave regular chips at all!",absolutely love pop chip healthy alternative regular fatty chip seat salt pepper sour cream onion favorite crave regular chip,1
positive,24/8/21,"I picked up a few bags of these at my local HEB and couldnt help but consume half of a bag in a day. The entire stock didnt last even a week for me.<br /><br />Many chips say they have a bold flavor but they never deliver. These, however, do. I tried the Garlic Parmessan chips and the first things I thought was how strong and delicious the parmessan was.. shortly followed by a garlic flavor. Combined with a sharp crunch, I cannot have enough of these chips. I'm almost afraid to buy a 24 pack because I know they won't last a month.<br /><br />It also helps that these things are pretty healthy for you. I mean, they are a potato crisp so you can't be entirely guilt-free... but I don't knock myself for going to town. I just avoid the potato chip aisle these are on when I need to lay low on the snack foods ;)",pick bag local heb could help consume half bag day entire stock last even week many chip say bold flavor never deliver however try garlic parmessan chip first thing think strong delicious parmessan shortly follow garlic flavor combine sharp crunch enough chip almost afraid buy pack know last month also help thing pretty healthy mean potato crisp entirely knock go town avoid potato chip aisle need lay low snack food,1
positive,21/7/21,I love these chips! They always make a great healthy snack when I'm stuck at work with just the vending machine for sustenance.,love chip always make great healthy snack stuck work vend machine sustenance,1
positive,25/6/21,"The 'Sun Chips' are an OK substitute for the usual potato, corn, whatever chip cooked in oil and over salted.  They are not nearly as un-palatable as I thought they would be.  Have added them to my 'heart healthy' diet regime.  All are good except for the 'multi-grain' style, which has the texture of a sheet of plywood.",chip ok substitute usual potato corn whatever chip cook oil salt nearly think would add healthy diet regime good except style texture sheet plywood,1
positive,13/9/21,"This chips are really good and it's fun getting the variety pack.  Now, are they as good as ""regular"" chips?  Probably not, but they're also not nearly as fattening and bad for you as regular chips.  Given that these are a healthier version if you want chips, I would highly recommend them!",chip really good fun get variety pack good regular chip probably also nearly fatten bad regular chip give healthy version want chip would highly recommend,1
positive,18/6/21,"Tried the BBQ Popchips for the first time and loved them so got the value pack to try more flavors. Loved them all except the salt and pepper chips which weren't that great. Good healthy snack without giving up the taste. So glad I discovered these! Salt and vinegar are my favorite! 100 cal/bag, 3.5g fat/bag",try bbq popchips first time love get value pack try flavor love except salt pepper chip great good healthy snack without give taste glad discover salt vinegar favorite,1
positive,7/7/21,"We'll see how these work out in our family over time. I'm not sure that I am disciplined enough to make good use of them, although it might be a good technique for teaching my dog. They appear to be good for what they are, a very tiny, but healthy, reward. Right now I can visualize them being used as a reward for following commands, a training tool. I was surprised at how tiny these treats were. They seem to taste good enough, but they are miniscule! They are just a fraction longer than a small paperclip and about half as wide, maybe 1/4 as thick.<br /><br />My dog was a little annoyed, but took it when I gave it to him. That was yesterday. Today he came in excited to get his ""treat"", looked at it as if to say, ""You've GOT to be KIDDING!"" Then he took it and ate it. A little later I offered him another one. He put it on the floor and looked hopefully at his stash of larger treats, but when he didn't get one, he went back and took this one.<br /><br />I think these might be good for rewards for obeying commands. Treats? That's stretching it.<br /><br />They may also be good for my son's dog who rarely gets treats because she's overweight and would eat the whole entire refrigerator full of food if allowed. At least she would get a treat. Large treats take her 5 seconds. She'll probably inhale these, one second max.<br /><br />I like the fact that these are low-fat, with no added salt, no refined sugar, no artificial flavors, colors or preservatives. It says, ""Treats Baked With Natural Peanut Butter.""",see work family time sure discipline enough make good use although might good technique teach dog appear good tiny healthy reward right visualize use reward follow command train tool surprise tiny treat seem taste good enough miniscule fraction longer small paperclip half wide maybe thick dog little annoyed take give yesterday today come excited get treat look say got kid take ate little later offer another one put floor look hopefully stash large treat get one go back take one think might good reward obey command treat stretch may also good son dog rarely get treat overweight would eat whole entire refrigerator full food allow least would get treat large treat take second probably inhale one second max like fact add salt refine sugar artificial flavor color preservatives say treat bake natural peanut butter,1
positive,15/7/21,"I am a mom of 3 kids. With my older two I had such a hard time finding a snack for them that didn't have so much sodium! When my 3rd came along, HappyFamily introduced HappyMunchies. I was so thankful to find a snack low in sodium and with a vegetable too! And to top it off, it is organic so I know it is free of pesticide residue and GMOs!",mom kid old two hard time find snack much sodium come along happyfamily introduce happymunchies thankful find snack low sodium vegetable top organic know free pesticide residue gmos,1
positive,11/7/21,"We love these baby food things in a little pouch. Sooooo much easier to feed to a baby or toddler on the go. Our son loves sucking the fruit out and we are pleased that it is both organic and healthy with nothing added - just fruit. For smaller ones, not good to let them handle it themselves, because they love to squeeze it, which gets things everywhere. But older ones can feed to themselves. I like the 3.17 size rather than the bigger one that Plum Organics has for some of the other flavors. It assures that he will eat all or most of it in one sitting rather than having to save some for later. You can also take this size on airplanes without having to have it tested for explosives - not the case with the bigger pouches. I also like that it is BPA free. If your little one likes them, ordering in bulk and with subscribe and save makes them much cheaper than at the store.",love baby food thing little pouch sooooo much easy feed baby toddler go son love suck fruit pleased organic healthy nothing add fruit small one good let handle love squeeze get thing everywhere old one fee like size rather big one plum organic flavor assure eat one sit rather save later also take size airplane without test explosive case big pouch also like bpa free little one like order bulk subscribe save make much cheap store,1
positive,7/10/21,"I love VitaMuffins, but my supermarket sells one box of 4 muffins for $6.29.  Instead I bought the mix, 3 boxes for $16.00, and each box makes 12 muffins. Instead of $1.62 per muffin, the mix only requires water & eggs and works out to about 48 cents per muffin, and very easy to make. That's a great deal.",love vitamuffins supermarket sell one box muffins instead bought mix box box make muffin instead per muffin mix require water egg work cent per muffin easy make great deal,1
positive,6/7/21,"I generally like vitalicious products. The corn muffin, well, for 100 calories it's not bad. But if you are expecting anything like the sugar/fat laden junk that your local bakery sells, look elsewhere. this is like a healthy makeover that doesn't quite cut it, but they're not bad. For the same amount of calories, the chocolate one is more of an indulgence, but this one is good for a bland breakfast treat, especially baked fresh.<br />My kids are happy to get any extra snacks, so they approve...i send with them to school for a midmorning snack. im glad they get fuel and vitamins.",generally like vitalicious product corn muffin well calorie bad expect anything like laden junk local bakery sell look elsewhere like healthy makeover quite cut bad amount calorie chocolate one indulgence one good bland breakfast treat especially bake fresh kid happy get extra snack approve send school midmorning snack glad get fuel vitamin,1
positive,18/6/21,"My dog had been prone to ear infections and did a lot of paw chewing when his vet recommended changing his diet because his symptoms may be due to a food allergy. She specifically recommended the salmon and rice formula. Unfortunately, my dog hated the salmon and rice and it smelt extremely fishy. I tried the lamb and rice formula and he likes it much better. I've heard numerous good things about Wellness from my dog trainer, as well as other pet owners and pet store employees. My dog is adjusting to the new food well. However, I can tell he doesn't consider it the most tasty of choices- probably because it doesn't have the artificial flavoring in it. But I'd rather him eat something much healthier even if we have to sacrifice a little on the taste.",dog prone ear infection lot paw chew vet recommend change diet symptom may due food allergy specifically recommend salmon rice formula unfortunately dog hat salmon rice smelt extremely fishy try lamb rice formula like much well heard numerous good thing wellness dog trainer well pet owner pet store employee dog adjust new food well however tell consider tasty probably artificial flavor would rather eat something much healthy even sacrifice little taste,1
positive,7/7/21,"<span class=""tiny""> Length:: 1:00 Mins<br /><br /></span>These cookies are so great! Watch our video to see how great they really are!!!",length min cookies great watch video see great really,1
positive,27/7/21,"Actually, Sojo's strongly recommends that the meat you add to their mixes be raw, but it an be cooked as I choose to do.  My dog arrived with coccidia and giardia as a puppy.  Through veterinary mismanagement, he was never completely healthy for the first 2 1/2 years of his life.  After watching him get sicker on an aggressive course of antibiotics and prednisone for his Inflammatory Bowel Disease, I took him to a holistic veterinarian.  Part of his treatment has been a homemade diet of Sojo's and meat plus no medications.  I'm extremely pleased to report he has had no GI episodes in over 6 months and has reached a point where I consider him healthy.  His coat is glossy and much fluffier than before he's finally at a good weight.  I have before and after photos that show a dramatic improvement,much of which I credit to Sojo's.<br /><br />It does take some extra time to prepare as opposed to kibble, but I make 4 days worth at a time. This takes me about 30 - 40 minutes total which includes down time while the meat is cooking and cleaning up after.  To be completely honest, I'm not thrilled about cooking for my dog but I am thrilled with the results.  If I was able to feed him raw (perhaps down the road, when our vet gives the ok), preparation time would  be almost nothing.",actually sojo strongly recommend meat add mix raw cook choose dog arrive coccidia giardia puppy veterinary mismanagement never completely healthy first year life watch get sick aggressive course antibiotic prednisone inflammatory bowel disease take holistic veterinarian part treatment homemade diet sojo meat plus medication extremely pleased report gi episodes month reach point consider healthy coat glossy much fluffier finally good weight photo show dramatic improvement much credit sojo take extra time prepare oppose kibble make day worth time take minute total include time meat cook clean completely honest thrilled cooking dog thrill result able feed raw perhaps road vet give ok preparation time would almost nothing,1
positive,13/7/21,"It's also a routine baking ingredient. I put it into my bread along with sunflower seeds and organic wheat flour. I also put it into my smoothie, stir fry dishes....anything you can think of! Good price and really, it's a must have for a healthy diet!",also routine bake ingredient put bread along sunflower seed organic wheat flour also put smoothie stir fry dish anything think good price really must healthy diet,1
positive,13/9/21,I have tryed the Almond Crunch and is delicious and healthy snack better than chips Try it you'll agree,try almond crunch delicious healthy snack well chip try agree,1
positive,7/9/21,I use the powdered tea powder in my fruit smoothies.  Provides you all the health benefits of green tea.  Love the product and use both the plain and lemon ginger.,use powder tea powder fruit smoothies provide health benefit green tea love product use plain lemon ginger,1
positive,17/4/21,"Green tea is good for you, loaded with antioxidants, boosts your metabolism, yadda, yadda, yadda, but I never quite warmed up to the taste.  Until now.  The lemon and the ginger give this a very nice flavor.  And it is SO great that I can just add a packet to my water bottle and go, without the bother of brewing it.",green tea good load antioxidant boost metabolism yadda yadda yadda never quite warmed taste lemon ginger give nice flavor great add packet water bottle go without bother brewing,1
positive,10/3/21,"I eat a lot of cereal, and that includes a lot of the high-fiber kinds. Oatmeal, Mini (Frosted) Shredded Wheat and Raisin Bran are usually what I'd eat when I needed to lose a few lbs., but there have been a few instances where I tried the ""healthier"" options. I've tried several of the Kashi cereals, but they weren't very appetizing. The plain one had a cardboard taste. Next, I tried Grape Nuts, which is like a horrendous yeast flavored cat food (though it's closer to kitty litter in texture.) That brings me to FiberPlus Antioxidants.<br /><br />This Berry Yogurt Crunch is certainly one of the better tasting high-fiber cereals I've eaten. It's like a decent health bar broken apart into cereal. The clusters of yogurt really help, but even the plain cereal is decent enough on its own. Yes, there are 12g of Sugar per serving, but the 10g of Fiber and 170 Calorie parts more than make up for it. Especially if you compare it to Raisin Bran and Frosted Shredded Wheat, which are typically higher in Sugar and Calories, yet lower in dietary fiber. The antioxidants are a nice bonus, too.<br /><br />The bottom line is that I'll add this to my grocery list whenever it's on sale or the price is right.",eat lot cereal include lot kind oatmeal mini frost shredded wheat raisin bran usually would eat need lose instance try healthy option try several kashi cereal appetizing plain one cardboard taste next tried grape nut like horrendous yeast flavor cat food though close kitty litter texture bring fiberplus antioxidant berry yogurt crunch certainly one good tasting cereal eat like decent health bar broken apart cereal cluster yogurt really help even plain cereal decent enough yes sugar per serve fiber calorie part make especially compare raisin bran frost shredded wheat typically high sugar calorie yet low dietary fiber antioxidant nice bonus bottom line add grocery list whenever sale price right,1
positive,17/4/21,"I don't know why Science Diet is being referred to as junk food, as it is one of the higher quality foods on the market. A lot of the new organic and natural cat foods are not as healthy for pets as they are cracked up to be. But regardless, my veterinarian wanted me to put my 2 year old cat on a prescription food because of the high count of crystals in her urine. After some comparisons, Science Diet Mature Adult active longevity is the closest to the prescription food. Both my cats, the younger one and the older (10) are on this food and they seem to enjoy it. They both graze all day and are indoor cats so i try my best not to overfeed them. My younger cat has not had issues with her urine since she went on this food and we are all happy :)",know science diet refer junk food one high quality food market lot new organic natural cat food healthy pet crack regardless veterinarian want put year old cat prescription food high count crystal urine comparison science diet mature adult active longevity close prescription food cat younger one old food seem enjoy graze day indoor cat try best overfeed young cat issue urine since go food happy,1
positive,21/1/21,"These chocolate sandwich creme cookies by WhoNu? are every bit as delicious as similar brands but they are healthier for you. True, they have almost the same sugar, fat and carb amounts of the best-known name brand of these cookies; but as others have noted they also give you fiber with noticeably more vitamins and minerals than that other brand. This is a plus!<br /><br />They're really good as a snack and it's hard to stop at the serving size of just three cookies; but I guess I'm allowed an occasional guilty pleasure! As I write this they are a bit too expensive on this website; try looking for these cookies elsewhere unless you want the convenience of having them shipped to your door.<br /><br />Overall, these awesome chocolate sandwich creme cookies by WhoNu? are the best! I definitely recommend them as an excellent, healthier alternative to the major name brand of this type of cookie.<br /><br />I love `em! Enjoy!",chocolate sandwich creme cooky whonu every bit delicious similar brand healthier true almost sugar fat carb amount name brand cooky others note also give fiber noticeably vitamins mineral brand plus really good snack hard stop serve size three cooky guess allow occasional guilty pleasure write bit expensive website try look cooky elsewhere unless want convenience ship door overall awesome chocolate sandwich creme cooky whonu best definitely recommend excellent healthier alternative major name brand type cookie love enjoy,1
positive,30/1/21,We like this brownie mix and I usually use the low fat recipe on it. I also add chocolate chips or something else to it otherwise it ends up a little bit dry.<br /><br />We still buy this by the case.,like brownie mix usually use low fat recipe also add chocolate chip something else otherwise end little bit dry still buy case,1
positive,13/2/21,"These brownies are good, but the flax seed texture can be a real turn-off.  To minimize it, I added a little whole wheat flour, splenda and cocoa - BIG improvement and my guests never complained (like they did the first time I made the brownies!).",brownie good flax seed texture real minimize add little whole wheat flour splenda cocoa big improvement guest never complain like first time make brownie,1
positive,15/1/21,"We just got our first order a few days ago, and my 10 month old daughter loves them! They're just like the Gerber mini veggies, but much cheaper. Although they still cost a good bit, having a nutrient filled, easy to take anywhere travel snack is well worth it. My daughter doesn't have any teeth yet, and she hasn't had any problems eating them. They're light and fluffy, yet full of flavor.",get first order day ago month old daughter love like gerber mini veggie much cheap although still cost good bit nutrient fill easy take anywhere travel snack well worth daughter teeth yet problem eat light fluffy yet full flavor,1
positive,6/3/21,"I am not sure why the 2 speciality stores in my area stopped carrying these as they were usually sold out. The cakes are 18 calories, crunchy and good--not like the cardboard taste of thicker rice cakes. Excellent as a base for PB&J, or to make an open face sandwich, or to use in pieces like a chip for dips, etc. Good price on the 12 pack with a 10 month expiration use date.",sure speciality store area stop carry usually sell cake calorie crunchy good like cardboard taste thicker rice cake excellent base pb j make open face sandwich use piece like chip dip etc good price pack month expiration use date,1
positive,8/6/21,I purchased these based on others recommendations. The rice cakes are delicious. Thinner than the usual rice cakes in the supermarkets. Dense...not full of air. I covered them with PB2 (those watching their weight can eat peanut butter for 45 calories a serving vs 190 for regular PB and it tastes exactly the same). I too highly recommend these rice cakes.,purchase base others recommendation rice cake delicious thinner usual rice cake supermarket dense full air cover watch weight eat peanut butter calorie serve v regular pb taste exactly highly recommend rice cake,1
positive,7/1/21,"Over 90% of dry dog food is very unhealthy and can not even get 1 or 2 stars out of 5 or 6. Diamond Naturals is a great food. I have 6 Afghans and I've spent many, many hours of research to find this out.",dry dog food unhealthy even get star diamond natural great food afghan spend many many hour research find,1
positive,17/4/21,This is a very good snack that I feel great about offering my 10 month old.  She can easily  pick up the small pieces and definitely enjoys the apple cinnamon taste.  My 5 year old loves them as well!  I would definitely recommend these to anyone with small (or larger) kids.  :),good snack feel great offer month old easily pick small piece definitely enjoy apple cinnamon taste year old love well would definitely recommend anyone small large kid,1
negative,10/3/21,"SOMETHING TO EAT IF YOU'RE STARVING - BUT PLEASE GIVE REAL FOOD TO HUNGRY PEOPLE,<br /><br />What's in Kellogg's Corn Flakes? ""Milled Corn, Sugar, Malt Flavoring, High Fructose Corn Syrup, Salt."" Yes, of course, it also has lots of yummy preservatives such as BHT and a few synthetic vitamins and iron in minute quantities. For nutrition you get basically 100% Carbs from lots of SUGAR and almost NO PROTEIN. Add skim milk, or you'll get saturated fat with a little protein from whole milk. For added nutrition, include a sliced banana and a capful of wheat germ.<br /><br />If you like Corn Flakes, that is your business and you should enjoy them, but this is not health food and it is a very poor value for more than 0.29 cents an ounce [$3.49 per package]. At this price, the inner package's failure to maintain freshness is an even bigger drawback when one thinks of how long it may take to finish 12 ounces of this stuff. Why not use a vacuum-sealed container like Kretschmer's Wheat Germ to preserve freshness? After all, it's in the same price range!<br /><br />So if you are hungry, you are really eating the wrong stuff. SOMETHING TO EAT IF YOU ARE STARVING - BUT PLEASE GIVE REAL FOOD TO OTHER HUNGRY PEOPLE PLEASE!",something eat starve please give real food hungry people kellogg corn flake mill corn sugar malt flavor high fructose corn syrup salt yes course also lot yummy preservative bht synthetic vitamin iron minute quantity nutrition get basically carbs lot sugar almost protein add skim milk get saturate fat little protein whole milk add nutrition include slice banana capful wheat germ like corn flake business enjoy health food poor value cent ounce per package price inner package failure maintain freshness even big drawback one think long may take finish ounce stuff use container like kretschmer wheat germ preserve freshness price range hungry really eat wrong stuff something eat starve please give real food hungry people please,0
positive,14/1/21,"Sardines are a useful item to stock for times when you want to add a bit of protein to your meal without breaking the bank. I like that they are lower in mercury than big fish are, and high in omega fats. The skinless ones are much better tasting in my opinion--regular sardines taste a bit too oily, fishy, and strong to me. They are fairly neutral with the absence of added oil or much salt and this makes them versatile--I sometimes add lemon and mayonnaise for a sandwich filling, mix with egg, oatmeal, onion and lemon and fry for a fish patty, or add them to a salad. Although I think these from Roland are very good, I liked the Seasons skinless sardines, which are also sold by Amazon, even better for flavor and texture.",sardine useful item stock time want add bit protein meal without break bank like low mercury big fish high omega fat skinless one much well taste opinion regular sardine taste bite oily fishy strong fairly neutral absence add oil much salt make versatile sometimes add lemon mayonnaise sandwich fill mix egg oatmeal onion lemon fry fish patty add salad although think roland good liked season skinless sardine also sell amazon even well flavor texture,1
positive,24/5/21,"Stores are not carrying this product - thank goodness I can still get them!!!!<a href=""http://www.amazon.com/gp/product/B000CMHMUC"">Genisoy Soy Crisps, Deep Sea Salted, 3.85-Ounce Bags (Pack of 12)</a>",store carry product thank goodness still get genisoy soy crisp deep sea salt bag pack,1
positive,14/10/21,"I was really surprised when I tried this product because I found it to be a really light & fluffy batter. So don't think gluten free means flavorless, this Bisquick Pancake Mix will have you building up stacks of fluffy pancakes for your family. It's so nice that these are healthier for you, diabetic friendly and still manage to taste great too!",really surprised tried product find really light fluffy batter think gluten free mean flavorless bisquick pancake mix building stack fluffy pancake family nice healthier diabetic friendly still manage taste great,1
positive,7/2/21,I HAVE A 7 YEAR OLD SCOTTISH TERRIER WHO HAS SOME FOOD ALLERGIES. NO WHEAT FOR MY GIRL. :) THIS TREAT IS GREAT FOR SETTLEING AN UPSET STOMACH AND MY DOG LOOKS FORWARD TO HER CHARCOAL BONE TREATS.,year old scottish terrier food allergy wheat girl treat great settle upset stomach dog look forward charcoal bone treat,1
positive,29/3/21,"I highly recommend these very tasty Kavli Thin Crispbreads. I wanted something different than just white bread for sandwiches. I hate whole wheat. I love rye. I saw these, noticed the ingredients couldn't get much simpler and gave them a try. Topped with cheese, or a sandwich spread or whatever you'd like they're very tasty. I feel as full after 2 or 3 of these, topped of course, as I did with just white bread. They're nice and thin so it isn't like biting into anything hard - just a nice crunch. The flavor isn't strong at all - it is very mild and nothing like a rye bread you might have purchased in the past. Then I noticed that they are only 20 calories per slice. What's not to love? They taste good, they're whole grain, they're super low in calories, it's no crunchier than a potato chip, and I feel satisfied while chewing and after eating them. Oh - and they keep forever in the cupboard. I definitely will be buying these for a long time. :)",highly recommend tasty kavli thin crispbreads want something different white bread sandwich hate whole wheat love rye saw noticed ingredient could get much simpler give try top cheese sandwich spread whatever would like tasty feel full top course white bread nice thin like bite anything hard nice crunch flavor strong mild nothing like rye bread might purchase past noticed calorie per slice love taste good whole grain super low calorie crunchier potato chip feel satisfied chew eat oh keep forever cupboard definitely buy long time,1
positive,17/4/21,I'm very pleased with this dog food.  Haven't ordered anything else for my dogs since I bought this.  My lab and my malti poo both eat it happily and I'm happy that it is healthy for them.,pleased dog food order anything else dog since buy lab malti poo eat happily happy healthy,1
positive,10/3/21,"I have started buying a lot of organic food over the past year, and it dawned on me that perhaps my dog should be eating more healthfully also. When I look at the list of ingredients on regular dog food, it is downright nauseating! I bought some of this Newman's Own and my dog loves it. She usually gobbles it up the minute I put it into the bowl.",start buying lot organic food past year dawn perhaps dog eat healthfully also look list ingredient regular dog food downright nauseate buy newman dog love usually gobble minute put bowl,1
positive,10/7/21,"I signed up for the monthly subscription for this item. The price is great especially without having to pay shipping charges. I love the fact that I can manage the subscription by skipping a month or ordering it earlier than scheduled. Amazon has been excellent getting my shipments out on a timely manner. <a href=""http://www.amazon.com/gp/product/B000VK33C6"">Newman's Own® Organics Adult Dog Food Chicken & Rice Formula, 7-Pound Bag</a>Very pleased with all my orders from Amazon. Extremely pleased with their customer service! THANKS AMAZON!",sign monthly subscription item price great especially without pay shipping charge love fact manage subscription skip month order early schedule amazon excellent get shipment timely manner newman organic adult dog food chicken rice formula bag pleased order amazon extremely pleased customer service thanks amazon,1
positive,27/1/21,"I feel better about feeding this product to my dogs.  I was using another popular brand,<br />but it contained a lot of fillers.  One of my dogs is ""pickier,"" so he would prefer a meatier<br />taste, but he does clean it up eventually.",feel well feed product dog use another popular brand contain lot filler one dog picky would prefer meaty taste clean eventually,1
positive,1/6/21,"Our family loves these tasty and healthy sesame honey almonds by Trader Joe's.  You get the crunchy flavor of the sesame seeds combined with the subtle sweetness of the honey and almond flavoring.  Wow--it's a great snack that you feel good while eating.  It is my favorite of Trader Joe's almond snacks.  Almonds are good for you and a handful of these in the morning with a fruit smoothie or as a snack at lunch is a great way to get protein, the healthy fat and the Vitamin E that almonds offer. It's a good idea to measure out 1/4-1/2 cup of these almonds or count the almonds out to stay in the calorie range you want to keep within. Nutritionist recommend having a small amount of almonds or walnuts each day for good fat and protein.",family love tasty healthy sesame honey almonds trader joe get crunchy flavor sesame seed combine subtle sweetness honey almond flavor wow great snack feel good eat favorite trader joe almond snack almonds good handful morning fruit smoothie snack lunch great way get protein healthy fat vitamin e almond offer good idea measure cup almond count almond stay calorie range want keep within nutritionist recommend small amount almond walnuts day good fat protein,1
positive,20/8/21,"I love these cookies. I am on the paleo diet right now and these cookies are what I look forward too. I do like the taste of the tropical one the best. They all have different taste but if you want something that is grain free and gluten free then this is the right place. I expected the taste to be different and it is. Other reviewers seem to expect them to taste like oreos or chips ahoy. Of course not.<br /><br />When I eat them, I don't even feel bad about it because my body welcomes them. They don't make me crash either and feel like I ate junk food. It is a good indicator that these were made from all natural ingredients. I wish I had these cookies close to me. I'd buy them every single day!",love cooky paleo diet right cooky look forward like taste tropical one best different taste want something grain free gluten free right place expect taste different reviewer seem expect taste like oreos chip ahoy course eat even feel bad body welcome make crash either feel like ate junk food good indicator make natural ingredient wish cooky close would buy every single day,1
positive,14/8/21,"The flavor of the fruit enclosed is outstanding(bluberry) and if there is  a drawback it is that the blanket that encloses the fruit is a bit thick (unlike this companys fig bars) and pastry textured.Flavored with cane  syrup(not fruit juice).150 cal per bar,and low in fat and the carbs(29) not too bad considering the great taste.",flavor fruit enclose outstanding bluberry drawback blanket enclose fruit bit thick unlike companys fig bar pastry cane syrup fruit juice cal per bar low fat carbs bad consider great taste,1
