,Sentiment,Time,Text,review_length,clean_reviews,clean_review_length
13,positive,2021-06-18,"I got these for my gf as she isn't supposed to eat any gluten.  All of the flavors taste great and they seem to be much healthier than regular potato chips.  If you are looking for a gluten-free snack, I highly recommend Popchips!",230,got gf supposed eat gluten flavors taste great seem much healthier regular potato chips looking glutenfree snack highly recommend popchips,138
14,positive,2021-07-07,"I have a free sampling of these chips and I can see me swapping them for my regular chip cravings. They remind me of Munchos, but are less greasy. Try them.",156,free sampling chips see swapping regular chip cravings remind munchos less greasy try,85
15,positive,2021-06-30,"I tried this chips in a hotel that I stayed at, and loved them! I ordered them for the office and everyone enjoyed them. I'm on my second order!",144,tried chips hotel stayed loved ordered office everyone enjoyed second order,75
16,positive,2021-01-07,"I absolutely love Pop Chips as a healthy alternative to regular, fatty chips.  The Seat Salt and Pepper and the Sour Cream and Onion are my favorites.  I don't crave regular chips at all!",187,absolutely love pop chips healthy alternative regular fatty chips seat salt pepper sour cream onion favorites crave regular chips,129
17,positive,2021-08-24,"I picked up a few bags of these at my local HEB and couldnt help but consume half of a bag in a day. The entire stock didnt last even a week for me.<br /><br />Many chips say they have a bold flavor but they never deliver. These, however, do. I tried the Garlic Parmessan chips and the first things I thought was how strong and delicious the parmessan was.. shortly followed by a garlic flavor. Combined with a sharp crunch, I cannot have enough of these chips. I'm almost afraid to buy a 24 pack because I know they won't last a month.<br /><br />It also helps that these things are pretty healthy for you. I mean, they are a potato crisp so you can't be entirely guilt-free... but I don't knock myself for going to town. I just avoid the potato chip aisle these are on when I need to lay low on the snack foods ;)",815,picked bags local heb could help consume half bag day entire stock last even week many chips say bold flavor never deliver however tried garlic parmessan chips first things thought strong delicious parmessan shortly followed garlic flavor combined sharp crunch cannot enough chips almost afraid buy 24 pack know last month also helps things pretty healthy mean potato crisp cannot entirely guiltfree knock going town avoid potato chip aisle need lay low snack foods,465
18,positive,2021-07-21,I love these chips! They always make a great healthy snack when I'm stuck at work with just the vending machine for sustenance.,127,love chips always make great healthy snack stuck work vending machine sustenance,80
19,positive,2021-06-25,"The 'Sun Chips' are an OK substitute for the usual potato, corn, whatever chip cooked in oil and over salted.  They are not nearly as un-palatable as I thought they would be.  Have added them to my 'heart healthy' diet regime.  All are good except for the 'multi-grain' style, which has the texture of a sheet of plywood.",321,sun chips ok substitute usual potato corn whatever chip cooked oil salted nearly unpalatable thought would added heart healthy diet regime good except multigrain style texture sheet plywood,189
20,positive,2021-09-13,"This chips are really good and it's fun getting the variety pack.  Now, are they as good as ""regular"" chips?  Probably not, but they're also not nearly as fattening and bad for you as regular chips.  Given that these are a healthier version if you want chips, I would highly recommend them!",290,chips really good fun getting variety pack good regular chips probably also nearly fattening bad regular chips given healthier version want chips would highly recommend,168
21,positive,2021-06-18,"Tried the BBQ Popchips for the first time and loved them so got the value pack to try more flavors. Loved them all except the salt and pepper chips which weren't that great. Good healthy snack without giving up the taste. So glad I discovered these! Salt and vinegar are my favorite! 100 cal/bag, 3.5g fat/bag",309,tried bbq popchips first time loved got value pack try flavors loved except salt pepper chips great good healthy snack without giving taste glad discovered salt vinegar favorite 100 calbag 35g fatbag,199
22,positive,2021-07-07,"We'll see how these work out in our family over time. I'm not sure that I am disciplined enough to make good use of them, although it might be a good technique for teaching my dog. They appear to be good for what they are, a very tiny, but healthy, reward. Right now I can visualize them being used as a reward for following commands, a training tool. I was surprised at how tiny these treats were. They seem to taste good enough, but they are miniscule! They are just a fraction longer than a small paperclip and about half as wide, maybe 1/4 as thick.<br /><br />My dog was a little annoyed, but took it when I gave it to him. That was yesterday. Today he came in excited to get his ""treat"", looked at it as if to say, ""You've GOT to be KIDDING!"" Then he took it and ate it. A little later I offered him another one. He put it on the floor and looked hopefully at his stash of larger treats, but when he didn't get one, he went back and took this one.<br /><br />I think these might be good for rewards for obeying commands. Treats? That's stretching it.<br /><br />They may also be good for my son's dog who rarely gets treats because she's overweight and would eat the whole entire refrigerator full of food if allowed. At least she would get a treat. Large treats take her 5 seconds. She'll probably inhale these, one second max.<br /><br />I like the fact that these are low-fat, with no added salt, no refined sugar, no artificial flavors, colors or preservatives. It says, ""Treats Baked With Natural Peanut Butter.""",1523,see work family time sure disciplined enough make good although might good technique teaching dog appear good tiny healthy reward right visualize used reward following commands training tool surprised tiny treats seem taste good enough miniscule fraction longer small paperclip half wide maybe 14 thick dog little annoyed took gave yesterday today came excited get treat looked say got kidding took ate little later offered another one put floor looked hopefully stash larger treats get one went back took one think might good rewards obeying commands treats stretching may also good sons dog rarely gets treats overweight would eat whole entire refrigerator full food allowed least would get treat large treats take 5 seconds probably inhale one second max like fact lowfat added salt refined sugar artificial flavors colors preservatives says treats baked natural peanut butter,879
23,positive,2021-07-15,"I am a mom of 3 kids. With my older two I had such a hard time finding a snack for them that didn't have so much sodium! When my 3rd came along, HappyFamily introduced HappyMunchies. I was so thankful to find a snack low in sodium and with a vegetable too! And to top it off, it is organic so I know it is free of pesticide residue and GMOs!",341,mom 3 kids older two hard time finding snack much sodium 3rd came along happyfamily introduced happymunchies thankful find snack low sodium vegetable top organic know free pesticide residue gmos,194
24,positive,2021-11-07,"We love these baby food things in a little pouch. Sooooo much easier to feed to a baby or toddler on the go. Our son loves sucking the fruit out and we are pleased that it is both organic and healthy with nothing added - just fruit. For smaller ones, not good to let them handle it themselves, because they love to squeeze it, which gets things everywhere. But older ones can feed to themselves. I like the 3.17 size rather than the bigger one that Plum Organics has for some of the other flavors. It assures that he will eat all or most of it in one sitting rather than having to save some for later. You can also take this size on airplanes without having to have it tested for explosives - not the case with the bigger pouches. I also like that it is BPA free. If your little one likes them, ordering in bulk and with subscribe and save makes them much cheaper than at the store.",882,love baby food things little pouch sooooo much easier feed baby toddler go son loves sucking fruit pleased organic healthy nothing added fruit smaller ones good let handle love squeeze gets things everywhere older ones feed like 317 size rather bigger one plum organics flavors assures eat one sitting rather save later also take size airplanes without tested explosives case bigger pouches also like bpa free little one likes ordering bulk subscribe save makes much cheaper store,480
25,positive,2021-07-10,"I love VitaMuffins, but my supermarket sells one box of 4 muffins for $6.29.  Instead I bought the mix, 3 boxes for $16.00, and each box makes 12 muffins. Instead of $1.62 per muffin, the mix only requires water & eggs and works out to about 48 cents per muffin, and very easy to make. That's a great deal.",306,love vitamuffins supermarket sells one box 4 muffins 629 instead bought mix 3 boxes 1600 box makes 12 muffins instead 162 per muffin mix requires water eggs works 48 cents per muffin easy make great deal,203
26,positive,2021-06-07,"I generally like vitalicious products. The corn muffin, well, for 100 calories it's not bad. But if you are expecting anything like the sugar/fat laden junk that your local bakery sells, look elsewhere. this is like a healthy makeover that doesn't quite cut it, but they're not bad. For the same amount of calories, the chocolate one is more of an indulgence, but this one is good for a bland breakfast treat, especially baked fresh.<br />My kids are happy to get any extra snacks, so they approve...i send with them to school for a midmorning snack. im glad they get fuel and vitamins.",586,generally like vitalicious products corn muffin well 100 calories bad expecting anything like sugarfat laden junk local bakery sells look elsewhere like healthy makeover quite cut bad amount calories chocolate one indulgence one good bland breakfast treat especially baked fresh kids happy get extra snacks approvei send school midmorning snack glad get fuel vitamins,367
27,positive,2021-06-18,"My dog had been prone to ear infections and did a lot of paw chewing when his vet recommended changing his diet because his symptoms may be due to a food allergy. She specifically recommended the salmon and rice formula. Unfortunately, my dog hated the salmon and rice and it smelt extremely fishy. I tried the lamb and rice formula and he likes it much better. I've heard numerous good things about Wellness from my dog trainer, as well as other pet owners and pet store employees. My dog is adjusting to the new food well. However, I can tell he doesn't consider it the most tasty of choices- probably because it doesn't have the artificial flavoring in it. But I'd rather him eat something much healthier even if we have to sacrifice a little on the taste.",759,dog prone ear infections lot paw chewing vet recommended changing diet symptoms may due food allergy specifically recommended salmon rice formula unfortunately dog hated salmon rice smelt extremely fishy tried lamb rice formula likes much better heard numerous good things wellness dog trainer well pet owners pet store employees dog adjusting new food well however tell consider tasty choices probably artificial flavoring would rather eat something much healthier even sacrifice little taste,493
28,positive,2021-07-07,"<span class=""tiny""> Length:: 1:00 Mins<br /><br /></span>These cookies are so great! Watch our video to see how great they really are!!!",136,span classtiny length 100 mins spanthese cookies great watch video see great really,83
29,positive,2021-07-27,"Actually, Sojo's strongly recommends that the meat you add to their mixes be raw, but it an be cooked as I choose to do.  My dog arrived with coccidia and giardia as a puppy.  Through veterinary mismanagement, he was never completely healthy for the first 2 1/2 years of his life.  After watching him get sicker on an aggressive course of antibiotics and prednisone for his Inflammatory Bowel Disease, I took him to a holistic veterinarian.  Part of his treatment has been a homemade diet of Sojo's and meat plus no medications.  I'm extremely pleased to report he has had no GI episodes in over 6 months and has reached a point where I consider him healthy.  His coat is glossy and much fluffier than before he's finally at a good weight.  I have before and after photos that show a dramatic improvement,much of which I credit to Sojo's.<br /><br />It does take some extra time to prepare as opposed to kibble, but I make 4 days worth at a time. This takes me about 30 - 40 minutes total which includes down time while the meat is cooking and cleaning up after.  To be completely honest, I'm not thrilled about cooking for my dog but I am thrilled with the results.  If I was able to feed him raw (perhaps down the road, when our vet gives the ok), preparation time would  be almost nothing.",1292,actually sojos strongly recommends meat add mixes raw cooked choose dog arrived coccidia giardia puppy veterinary mismanagement never completely healthy first 2 12 years life watching get sicker aggressive course antibiotics prednisone inflammatory bowel disease took holistic veterinarian part treatment homemade diet sojos meat plus medications extremely pleased report gi episodes 6 months reached point consider healthy coat glossy much fluffier finally good weight photos show dramatic improvementmuch credit sojos take extra time prepare opposed kibble make 4 days worth time takes 30 40 minutes total includes time meat cooking cleaning completely honest thrilled cooking dog thrilled results able feed raw perhaps road vet gives ok preparation time would almost nothing,777
30,positive,2021-07-13,"It's also a routine baking ingredient. I put it into my bread along with sunflower seeds and organic wheat flour. I also put it into my smoothie, stir fry dishes....anything you can think of! Good price and really, it's a must have for a healthy diet!",251,also routine baking ingredient put bread along sunflower seeds organic wheat flour also put smoothie stir fry dishesanything think good price really must healthy diet,166
31,positive,2021-09-13,I have tryed the Almond Crunch and is delicious and healthy snack better than chips Try it you'll agree,103,tryed almond crunch delicious healthy snack better chips try agree,66
32,positive,2021-07-09,I use the powdered tea powder in my fruit smoothies.  Provides you all the health benefits of green tea.  Love the product and use both the plain and lemon ginger.,163,powdered tea powder fruit smoothies provides health benefits green tea love product plain lemon ginger,102
33,positive,2021-04-17,"Green tea is good for you, loaded with antioxidants, boosts your metabolism, yadda, yadda, yadda, but I never quite warmed up to the taste.  Until now.  The lemon and the ginger give this a very nice flavor.  And it is SO great that I can just add a packet to my water bottle and go, without the bother of brewing it.",317,green tea good loaded antioxidants boosts metabolism yadda yadda yadda never quite warmed taste lemon ginger give nice flavor great add packet water bottle go without bother brewing,181
34,positive,2021-10-03,"I eat a lot of cereal, and that includes a lot of the high-fiber kinds. Oatmeal, Mini (Frosted) Shredded Wheat and Raisin Bran are usually what I'd eat when I needed to lose a few lbs., but there have been a few instances where I tried the ""healthier"" options. I've tried several of the Kashi cereals, but they weren't very appetizing. The plain one had a cardboard taste. Next, I tried Grape Nuts, which is like a horrendous yeast flavored cat food (though it's closer to kitty litter in texture.) That brings me to FiberPlus Antioxidants.<br /><br />This Berry Yogurt Crunch is certainly one of the better tasting high-fiber cereals I've eaten. It's like a decent health bar broken apart into cereal. The clusters of yogurt really help, but even the plain cereal is decent enough on its own. Yes, there are 12g of Sugar per serving, but the 10g of Fiber and 170 Calorie parts more than make up for it. Especially if you compare it to Raisin Bran and Frosted Shredded Wheat, which are typically higher in Sugar and Calories, yet lower in dietary fiber. The antioxidants are a nice bonus, too.<br /><br />The bottom line is that I'll add this to my grocery list whenever it's on sale or the price is right.",1206,eat lot cereal includes lot highfiber kinds oatmeal mini frosted shredded wheat raisin bran usually would eat needed lose lbs instances tried healthier options tried several kashi cereals appetizing plain one cardboard taste next tried grape nuts like horrendous yeast flavored cat food though closer kitty litter texture brings fiberplus antioxidants berry yogurt crunch certainly one better tasting highfiber cereals eaten like decent health bar broken apart cereal clusters yogurt really help even plain cereal decent enough yes 12g sugar per serving 10g fiber 170 calorie parts make especially compare raisin bran frosted shredded wheat typically higher sugar calories yet lower dietary fiber antioxidants nice bonus bottom line add grocery list whenever sale price right,775
35,positive,2021-04-17,"I don't know why Science Diet is being referred to as junk food, as it is one of the higher quality foods on the market. A lot of the new organic and natural cat foods are not as healthy for pets as they are cracked up to be. But regardless, my veterinarian wanted me to put my 2 year old cat on a prescription food because of the high count of crystals in her urine. After some comparisons, Science Diet Mature Adult active longevity is the closest to the prescription food. Both my cats, the younger one and the older (10) are on this food and they seem to enjoy it. They both graze all day and are indoor cats so i try my best not to overfeed them. My younger cat has not had issues with her urine since she went on this food and we are all happy :)",752,know science diet referred junk food one higher quality foods market lot new organic natural cat foods healthy pets cracked regardless veterinarian wanted put 2 year old cat prescription food high count crystals urine comparisons science diet mature adult active longevity closest prescription food cats younger one older 10 food seem enjoy graze day indoor cats try best overfeed younger cat issues urine since went food happy,427
36,positive,2021-01-21,"These chocolate sandwich creme cookies by WhoNu? are every bit as delicious as similar brands but they are healthier for you. True, they have almost the same sugar, fat and carb amounts of the best-known name brand of these cookies; but as others have noted they also give you fiber with noticeably more vitamins and minerals than that other brand. This is a plus!<br /><br />They're really good as a snack and it's hard to stop at the serving size of just three cookies; but I guess I'm allowed an occasional guilty pleasure! As I write this they are a bit too expensive on this website; try looking for these cookies elsewhere unless you want the convenience of having them shipped to your door.<br /><br />Overall, these awesome chocolate sandwich creme cookies by WhoNu? are the best! I definitely recommend them as an excellent, healthier alternative to the major name brand of this type of cookie.<br /><br />I love `em! Enjoy!",933,chocolate sandwich creme cookies whonu every bit delicious similar brands healthier true almost sugar fat carb amounts bestknown name brand cookies others noted also give fiber noticeably vitamins minerals brand plus really good snack hard stop serving size three cookies guess allowed occasional guilty pleasure write bit expensive website try looking cookies elsewhere unless want convenience shipped door overall awesome chocolate sandwich creme cookies whonu best definitely recommend excellent healthier alternative major name brand type cookie love enjoy,560
37,positive,2021-01-30,We like this brownie mix and I usually use the low fat recipe on it. I also add chocolate chips or something else to it otherwise it ends up a little bit dry.<br /><br />We still buy this by the case.,200,like brownie mix usually low fat recipe also add chocolate chips something else otherwise ends little bit dry still buy case,124
38,positive,2021-02-13,"These brownies are good, but the flax seed texture can be a real turn-off.  To minimize it, I added a little whole wheat flour, splenda and cocoa - BIG improvement and my guests never complained (like they did the first time I made the brownies!).",247,brownies good flax seed texture real turnoff minimize added little whole wheat flour splenda cocoa big improvement guests never complained like first time made brownies,168
39,positive,2021-01-15,"We just got our first order a few days ago, and my 10 month old daughter loves them! They're just like the Gerber mini veggies, but much cheaper. Although they still cost a good bit, having a nutrient filled, easy to take anywhere travel snack is well worth it. My daughter doesn't have any teeth yet, and she hasn't had any problems eating them. They're light and fluffy, yet full of flavor.",392,got first order days ago 10 month old daughter loves like gerber mini veggies much cheaper although still cost good bit nutrient filled easy take anywhere travel snack well worth daughter teeth yet problems eating light fluffy yet full flavor,242
40,positive,2021-06-03,"I am not sure why the 2 speciality stores in my area stopped carrying these as they were usually sold out. The cakes are 18 calories, crunchy and good--not like the cardboard taste of thicker rice cakes. Excellent as a base for PB&J, or to make an open face sandwich, or to use in pieces like a chip for dips, etc. Good price on the 12 pack with a 10 month expiration use date.",377,sure 2 speciality stores area stopped carrying usually sold cakes 18 calories crunchy goodnot like cardboard taste thicker rice cakes excellent base pbj make open face sandwich pieces like chip dips etc good price 12 pack 10 month expiration date,246
41,positive,2021-08-06,I purchased these based on others recommendations. The rice cakes are delicious. Thinner than the usual rice cakes in the supermarkets. Dense...not full of air. I covered them with PB2 (those watching their weight can eat peanut butter for 45 calories a serving vs 190 for regular PB and it tastes exactly the same). I too highly recommend these rice cakes.,357,purchased based others recommendations rice cakes delicious thinner usual rice cakes supermarkets densenot full air covered pb2 watching weight eat peanut butter 45 calories serving vs 190 regular pb tastes exactly highly recommend rice cakes,242
42,positive,2021-07-01,"Over 90% of dry dog food is very unhealthy and can not even get 1 or 2 stars out of 5 or 6. Diamond Naturals is a great food. I have 6 Afghans and I've spent many, many hours of research to find this out.",204,90 dry dog food unhealthy even get 1 2 stars 5 6 diamond naturals great food 6 afghans spent many many hours research find,122
43,positive,2021-04-17,This is a very good snack that I feel great about offering my 10 month old.  She can easily  pick up the small pieces and definitely enjoys the apple cinnamon taste.  My 5 year old loves them as well!  I would definitely recommend these to anyone with small (or larger) kids.  :),279,good snack feel great offering 10 month old easily pick small pieces definitely enjoys apple cinnamon taste 5 year old loves well would definitely recommend anyone small larger kids,181
44,negative,2021-10-03,"SOMETHING TO EAT IF YOU'RE STARVING - BUT PLEASE GIVE REAL FOOD TO HUNGRY PEOPLE,<br /><br />What's in Kellogg's Corn Flakes? ""Milled Corn, Sugar, Malt Flavoring, High Fructose Corn Syrup, Salt."" Yes, of course, it also has lots of yummy preservatives such as BHT and a few synthetic vitamins and iron in minute quantities. For nutrition you get basically 100% Carbs from lots of SUGAR and almost NO PROTEIN. Add skim milk, or you'll get saturated fat with a little protein from whole milk. For added nutrition, include a sliced banana and a capful of wheat germ.<br /><br />If you like Corn Flakes, that is your business and you should enjoy them, but this is not health food and it is a very poor value for more than 0.29 cents an ounce [$3.49 per package]. At this price, the inner package's failure to maintain freshness is an even bigger drawback when one thinks of how long it may take to finish 12 ounces of this stuff. Why not use a vacuum-sealed container like Kretschmer's Wheat Germ to preserve freshness? After all, it's in the same price range!<br /><br />So if you are hungry, you are really eating the wrong stuff. SOMETHING TO EAT IF YOU ARE STARVING - BUT PLEASE GIVE REAL FOOD TO OTHER HUNGRY PEOPLE PLEASE!",1225,something eat starving please give real food hungry people kelloggs corn flakes milled corn sugar malt flavoring high fructose corn syrup salt yes course also lots yummy preservatives bht synthetic vitamins iron minute quantities nutrition get basically 100 carbs lots sugar almost protein add skim milk get saturated fat little protein whole milk added nutrition include sliced banana capful wheat germ like corn flakes business enjoy health food poor value 029 cents ounce 349 per package price inner packages failure maintain freshness even bigger drawback one thinks long may take finish 12 ounces stuff vacuumsealed container like kretschmers wheat germ preserve freshness price range hungry really eating wrong stuff something eat starving please give real food hungry people please,788
45,positive,2021-01-14,"Sardines are a useful item to stock for times when you want to add a bit of protein to your meal without breaking the bank. I like that they are lower in mercury than big fish are, and high in omega fats. The skinless ones are much better tasting in my opinion--regular sardines taste a bit too oily, fishy, and strong to me. They are fairly neutral with the absence of added oil or much salt and this makes them versatile--I sometimes add lemon and mayonnaise for a sandwich filling, mix with egg, oatmeal, onion and lemon and fry for a fish patty, or add them to a salad. Although I think these from Roland are very good, I liked the Seasons skinless sardines, which are also sold by Amazon, even better for flavor and texture.",729,sardines useful item stock times want add bit protein meal without breaking bank like lower mercury big fish high omega fats skinless ones much better tasting opinionregular sardines taste bit oily fishy strong fairly neutral absence added oil much salt makes versatilei sometimes add lemon mayonnaise sandwich filling mix egg oatmeal onion lemon fry fish patty add salad although think roland good liked seasons skinless sardines also sold amazon even better flavor texture,474
46,positive,2021-05-24,"Stores are not carrying this product - thank goodness I can still get them!!!!<a href=""http://www.amazon.com/gp/product/B000CMHMUC"">Genisoy Soy Crisps, Deep Sea Salted, 3.85-Ounce Bags (Pack of 12)</a>",201,stores carrying product thank goodness still get thema hrefhttpwwwamazoncomgpproductb000cmhmucgenisoy soy crisps deep sea salted 385ounce bags pack 12a,151
47,positive,2021-10-14,"I was really surprised when I tried this product because I found it to be a really light & fluffy batter. So don't think gluten free means flavorless, this Bisquick Pancake Mix will have you building up stacks of fluffy pancakes for your family. It's so nice that these are healthier for you, diabetic friendly and still manage to taste great too!",347,really surprised tried product found really light fluffy batter think gluten free means flavorless bisquick pancake mix building stacks fluffy pancakes family nice healthier diabetic friendly still manage taste great,216
48,positive,2021-07-02,I HAVE A 7 YEAR OLD SCOTTISH TERRIER WHO HAS SOME FOOD ALLERGIES. NO WHEAT FOR MY GIRL. :) THIS TREAT IS GREAT FOR SETTLEING AN UPSET STOMACH AND MY DOG LOOKS FORWARD TO HER CHARCOAL BONE TREATS.,195,7 year old scottish terrier food allergies wheat girl treat great settleing upset stomach dog looks forward charcoal bone treats,128
49,positive,2021-03-29,"I highly recommend these very tasty Kavli Thin Crispbreads. I wanted something different than just white bread for sandwiches. I hate whole wheat. I love rye. I saw these, noticed the ingredients couldn't get much simpler and gave them a try. Topped with cheese, or a sandwich spread or whatever you'd like they're very tasty. I feel as full after 2 or 3 of these, topped of course, as I did with just white bread. They're nice and thin so it isn't like biting into anything hard - just a nice crunch. The flavor isn't strong at all - it is very mild and nothing like a rye bread you might have purchased in the past. Then I noticed that they are only 20 calories per slice. What's not to love? They taste good, they're whole grain, they're super low in calories, it's no crunchier than a potato chip, and I feel satisfied while chewing and after eating them. Oh - and they keep forever in the cupboard. I definitely will be buying these for a long time. :)",957,highly recommend tasty kavli thin crispbreads wanted something different white bread sandwiches hate whole wheat love rye saw noticed ingredients could get much simpler gave try topped cheese sandwich spread whatever would like tasty feel full 2 3 topped course white bread nice thin like biting anything hard nice crunch flavor strong mild nothing like rye bread might purchased past noticed 20 calories per slice love taste good whole grain super low calories crunchier potato chip feel satisfied chewing eating oh keep forever cupboard definitely buying long time,566
50,positive,2021-04-17,I'm very pleased with this dog food.  Haven't ordered anything else for my dogs since I bought this.  My lab and my malti poo both eat it happily and I'm happy that it is healthy for them.,188,pleased dog food ordered anything else dogs since bought lab malti poo eat happily happy healthy,96
51,positive,2021-10-03,"I have started buying a lot of organic food over the past year, and it dawned on me that perhaps my dog should be eating more healthfully also. When I look at the list of ingredients on regular dog food, it is downright nauseating! I bought some of this Newman's Own and my dog loves it. She usually gobbles it up the minute I put it into the bowl.",348,started buying lot organic food past year dawned perhaps dog eating healthfully also look list ingredients regular dog food downright nauseating bought newmans dog loves usually gobbles minute put bowl,201
52,positive,2021-10-07,"I signed up for the monthly subscription for this item. The price is great especially without having to pay shipping charges. I love the fact that I can manage the subscription by skipping a month or ordering it earlier than scheduled. Amazon has been excellent getting my shipments out on a timely manner. <a href=""http://www.amazon.com/gp/product/B000VK33C6"">Newman's Own® Organics Adult Dog Food Chicken & Rice Formula, 7-Pound Bag</a>Very pleased with all my orders from Amazon. Extremely pleased with their customer service! THANKS AMAZON!",545,signed monthly subscription item price great especially without pay shipping charges love fact manage subscription skipping month ordering earlier scheduled amazon excellent getting shipments timely manner hrefhttpwwwamazoncomgpproductb000vk33c6newmans own¾ organics adult dog food chicken rice formula 7pound bagavery pleased orders amazon extremely pleased customer service thanks amazon,390
53,positive,2021-01-27,"I feel better about feeding this product to my dogs.  I was using another popular brand,<br />but it contained a lot of fillers.  One of my dogs is ""pickier,"" so he would prefer a meatier<br />taste, but he does clean it up eventually.",235,feel better feeding product dogs using another popular brand contained lot fillers one dogs pickier would prefer meatier taste clean eventually,143
