,sentiment,time,text,cleaned_text,Lowercase Count,Uppercase Count,Uppercase Words,Uppercase Ratio,Punc Count,num_digits,num_verbs,num_nouns,num_tokens_cleaned,num_tokens_raw,num_words_misspelled,polarity,subjectivity,num_pos_words,num_neg_words
1589,positive,6/5/21,"These have GOT to be the BEST tasting gluten free cookies I have EVER tasted. I was just blown away by the taste and texture. My husband couldn't believe it was Gluten Free. I won't buy another brand. <a href=""http://www.amazon.com/gp/product/B004T348UW"">Pamelas Products 39439 Extreme Chocolate Simple Bites Gluten Free</a>",get best taste gluten free cooky ever taste blown away taste texture husband could believe gluten free buy another brand pamelas product extreme chocolate simple bite gluten free,59,3,"GOT, BEST, EVER",0.046154,9,0,4,12,28,65,3,0.9337,0.67619,4,0
252,positive,25/7/20,"These are a great snack when you're on the go.  Unlike most fruit bars, they have a bit of fiber in them, making them far healthier and longer lasting.",great snack go unlike fruit bar bite fiber make far healthy longer last,34,0,,0.0,4,0,2,5,13,34,1,0.7783,0.579167,1,0
2334,positive,20/2/18,"My vet recommended these for my half-Siamese, very particular, cat because she kept having tarter buildup (and, as a result, bad breath). I was skeptical because my cat is VERY picky about food. She LOVES them. It is her ""treat"" each day. Well, my vet stopped carrying them, so I came to Amazon and now I never have to worry about quick delivery, tarter buildup, bad breath or an unhappy kitty! Life is great with CET Enzematic cat chews!",vet recommend particular cat keep tarter buildup result bad breath skeptical cat picky food love treat day well vet stop carry come amazon never worry quick delivery tarter buildup bad breath unhappy kitty life great cet enzematic cat chew,91,3,"VERY, LOVES, CET",0.030928,16,0,5,19,39,97,3,0.6604,0.614583,2,2
2336,positive,12/3/18,"I've found this to be a good sweetener. I have to use more than they say (about 10 drops when I'm using lemon), but I use extra packet sweetener, too. Very happy. I'll just have to figure out how many ""servings"" I get from a bottle, but I'm guessing it's more economical than the stevia products I get at the grocery store.",found good sweetener use say drop use lemon use extra packet sweetener happy figure many serving get bottle guess economical stevia product get grocery store,70,0,,0.0,9,0,4,12,25,78,3,0.6705,0.62,1,0
1385,positive,26/9/20,These taste fantastic!! And Amazon sells them for a less expensive price than my local health food store! Thank you Amazon!,taste fantastic amazon sell less expensive price local health food store thank amazon,25,0,,0.0,4,0,0,9,13,25,0,0.8176,0.416667,1,0
3765,negative,10/3/21,I am always looking for healthy treats for my dogs. I had ordered 2 boxes of these and when I opened the first box something had eaten their way in or out. The treats were full of holes and there were also holes in the plastic. I could not see from the outside any evidence of something getting in. They were also out of date by a couple of months. I contacted the the people that I purchased these from and they wasted no time in giving me a refund. I was very please with the seller's response.,always look healthy treat dog order box open first box something eaten way treat full hole also hole plastic could see outside evidence something get also date couple month contact people purchase wasted time give refund please seller response,99,0,,0.0,7,0,4,22,39,106,0,0.7351,0.322222,0,0
543,positive,21/7/20,"I found out about these from a co-worker. They are delicious, low calorie, and pack some protein. Eating these rather than my usual pretzels and chips helped me slim down. I get them by the case now from Amazon since it is a better buy (and my supermarket doesn't always carry them).",found delicious low calorie pack protein eat rather usual pretzel chip help slim get case amazon since good buy supermarket always carry,59,0,,0.0,8,0,3,11,22,61,1,0.836,0.5375,1,0
1192,positive,11/9/21,"My husband and I love to cook.  Jarred sun-dried tomatoes available in our area grocery stores have been a disappointment.  Not these! Flavorful and easy to use in a variety of dishes.  The flavor is a burst of summer sweetness. Often, these are eaten as ""chef's treats"" during cooking.  Price is more than fair.  I will keep  these on hand always.",husband love cook jar tomato available area grocery store disappointment flavorful easy use variety dish flavor burst summer sweetness often eat chef treat cook price fair keep hand always,71,0,,0.0,9,0,0,20,29,73,1,0.9349,0.626667,1,1
3201,positive,28/7/21,I drink a lot of teas and tisanes so I like to try different kinds from time to time. I've been drinking this for a few weeks and it's fantastic. Even before I brewed this I knew it was going to be good just from the aroma. (Actually it would make a great potpourri on its own.) It brews up a nice deep color with a good flavor. I highly recommend this.,drink lot teas tisane like try different kind time time drink week fantastic even brew knew go good aroma actually would make great potpourri brew nice deep color good flavor highly recommend,76,0,,0.0,8,0,6,13,32,82,2,0.9758,0.639,3,0
3826,positive,10/1/21,"Had a box of their garlic sticks, and really enjoyed the quality and satisfying feeling from eating them.<br />Wanted to try a new flavor, and the sesame is quite addicting!! Only 2 Weight Watchers points for 4 incredible sticks. These are made in Italy.<br />Expect many of the breadsticks to be broken, but don't let this stop you from trying this premium brand!",box garlic stick really enjoy quality satisfy feel eating want try new flavor sesame quite addict weight watcher point incredible stick make italy expect many breadstick break let stop try premium brand,79,0,,0.0,13,0,6,16,32,79,3,0.7056,0.588636,0,0
1393,positive,30/1/21,"This was the first time we've had tings - a friend told us about them and since since they ended up being 2.17 per bag - we gave them a shot.  My daughter has a severe milk intolerance and I have a wheat allergy - and it's rare to find something delicious that we can both have.  My daughter is 2 years old and can now enjoy cheetos just like her friends - and they taste wonderful!  I'm so thankful for products like these that taste good, help us feel normal, and are affordable!  If I could give 6 stars I would!",first time ting friend tell us since since end per bag give shoot daughter severe milk intolerance wheat allergy rare find something delicious daughter year old enjoy cheetos like friend taste wonderful thankful product like taste good help us feel normal affordable could give star would,108,0,,0.0,11,0,6,20,46,112,2,0.9783,0.647917,3,0
858,positive,10/8/18,Bought this in the Maui Costco and thought it tasted so great we dragged home the unfinished huge bag of oatmeal.  Went to our local Costco and they did not sell it but another type of cut oatmeal which is not nearly as good and a different texture.  This is a fine tasting healthy oatmeal.,buy maui costco thought taste great drag home unfinished huge bag oatmeal go local costco sell another type cut oatmeal nearly good different texture fine taste healthy oatmeal,58,0,,0.0,3,0,6,11,28,58,0,0.8689,0.490104,1,0
5137,negative,1/4/21,Does anyone realize tocopherol usually comes from soy? I'm still hunting for a cracker I don't have to make. Their website is unclear about it's source.,anyone realize tocopherol usually come soy still hunt cracker make website unclear source,30,0,,0.0,3,0,4,5,13,32,3,-0.25,0.25,0,0
417,positive,10/10/21,"I love popchips, The bag now has only 100 calories. and it bit smaller but If you are craving pop chips without the fat and still taste great. These are for you. A bit pricey but worth it.",love popchips bag calorie bite small crave pop chip without fat still taste great bit pricey worth,41,0,,0.0,5,0,5,7,17,43,1,0.8807,0.4625,2,0
70,negative,28/9/21,"Unlike another product I reviewed for Vine, at least this product does not have sugar per se in it. It is carbonated water added to a concentrate mixture of (in this order): apple, grape, tangerine and last - as well as least -- acai concentrate. The first two on the list, apple and grape are two of the most common ""fruit"" sweeteners used in beverages etc. That is why the product tastes sweetened.<br /><br />It has 140 calories -- quite a lot for 8 oz of flavored carbonated water -- and all of it is from carbohydrates (36 grams) and over 90% of the carbs (34 grams) are sugars. Apple and grapes have some of the highest concentrations of ""fructose"" a fruit sugar that not only commonly appears in commercial beverages because it is sweeter than regular cane sugar and thus it is cheaper to use, but it is also known to cause diarrhea, particularly in children.<br /><br />So another drink on the hit parade of ""pretend"" healthy drinks- appealing to the masses' concern for their ever-growing girth -- and deluding them that this will help forestall continued growth.<br /><br />You are better off drinking diet coke. You would be even more better off buying the sparkling flavored waters with no calories. My favorite is Bella Familglia -- in pomegranate, lime, lemon and orange flavors -- and is sold from time to time on Amazon as well as your local supermarket.<br /><br />Better yet, buy some organic pure fruit juice -- such as pomegranate and pour  1/8 cup in a glass of your favorite sparking water or a quarter cup in a 16 oz bottle of your favorite sparkling water. At least it is the actual juice and not some fructose extract.",unlike another product review vine least product sugar per se carbonate water add concentrate mixture order apple grape tangerine last well least acai concentrate first two list apple grape two common fruit sweetener use beverage etc product taste sweeten calorie quite lot oz flavor carbonated water carbohydrate grams carbs gram sugar apple grape high concentration fructose fruit sugar commonly appear commercial beverage sweeter regular cane sugar thus cheap use also know cause diarrhea particularly child another drink hit parade pretend healthy appealing mass concern girth delude help forestall continued growth well drinking diet coke would even well buy sparkle flavored water calorie favorite bella familglia pomegranate lime lemon orange flavor sell time time amazon well local supermarket well yet buy organic pure fruit juice pomegranate pour cup glass favorite sparking water quarter cup oz bottle favorite sparkling water least actual juice fructose extract,351,0,,0.0,51,2,17,71,143,352,7,0.9814,0.432552,0,0
4236,positive,20/11/19,"You can by at Kroger at half the price. Used to be cheaper before recent price hike, just continued from innertia to order until payed attention, people be careful!",kroger half price use cheap recent price hike continue innertia order pay attention people careful,33,0,,0.0,4,0,1,10,15,33,3,0.0516,0.529167,0,0
370,positive,14/4/21,"If you're looking at Choice tea, you're probably already aware that this extraordinary company was a pioneer in the use of organic, fair trade ingredients for tea.<br /><br />But Choice is also innovative both in design and in creative ingredient combinations. As for design, Lychee White is part of Choice's new line, characterized by an innovative biodegradable pyramid-shaped tea bag which allows for the use of regular loose tea leaves. As for creative ingredient combinations, this healthy white tea is enhanced by the ethereal marriage of natural lychee flavor and sublime organic osmanthus blossoms. The flavor and scent is one to savor and celebrate.",look choice tea probably already aware extraordinary company pioneer use organic fair trade ingredient tea choice also innovative design creative ingredient combination design lychee white part choice new line characterize innovative biodegradable tea bag allow use regular loose tea leave creative ingredient combination healthy white tea enhance ethereal marriage natural lychee flavor sublime organic osmanthus blossom flavor scent one savor celebrate,123,0,,0.0,15,1,2,36,61,123,5,0.9648,0.560764,1,0
2908,positive,1/3/20,I bought this for my 6yo sound to take to school for his birthday. He is really into space and since he is in kindergarten I wanted his first birthday treat at school to be super special. Everyone loved it and he had a really fun experience.,buy sound take school birthday really space since kindergarten want first birthday treat school super special everyone love really fun experience,48,0,,0.0,3,0,3,9,21,50,1,0.9545,0.42449,3,0
1522,positive,11/6/21,"This product is a great substitute for sugar in drinks.  It doesn't have a funny aftertaste or change the taste of the drinks I put it in.  Obviously, it's a good alternative for sugar, but another reason I purchased it was because of it's benefit on teeth.  Xylitol is used in other countries (I've read) to fight tooth decay and improve oral health in adults and children alike (You must used 8-10 grams daily for this benefit).  My husband and I both use the toothpaste (also excellent) and gum.  Last week I saw a dentist on primetime TV doing a show on oral health, and he strongly recommended Xylitol for children also.",product great substitute sugar drink funny aftertaste change taste drink put obviously good alternative sugar another reason purchase benefit teeth xylitol used country read fight tooth decay improve oral health adult child alike must use gram daily benefit husband use toothpaste also excellent gum last week saw dentist primetime tv show oral health strongly recommend xylitol child also,125,1,TV,0.007634,15,0,10,27,58,131,5,0.9674,0.55625,2,0
4802,negative,17/4/21,I purchased 6 boxes as gifts at $21 per box.  I spent over $120.00 and none could be used.  Every piece was broken and could not be used for the Seder.  Sending a gift that is broken and can't be used is very embarrassing.  Also the return window is April 18th which is ridiculous since the matzo was for the first Seder which was on April 18th at night.,purchase box gift per box spend none could use every piece broken could use seder send gift broken use embarrass also return window april ridiculous since matzo first seder april night,75,0,,0.0,7,0,6,14,31,77,1,-0.6249,0.533333,0,0
1917,positive,10/3/21,Coffee is just as good as other Fair Trade coffees that I buy.  I have a One:One pod maker and these fit in them just fine.  I do like my coffee a little on the strong side and can use the pod to make a very big cup of coffee before tossing.  I would recommend this product.,coffee good fair trade coffee buy one one pod maker fit fine like coffee little strong side use pod make big cup coffee toss would recommend product,59,0,,0.0,5,2,3,14,27,63,1,0.9383,0.533333,1,0
4104,negative,19/1/20,At the Hodgson Mill website they are seling a case of 6 for the same price.  talk about rip-offs.,hodgson mill website seling case price talk,21,0,,0.0,2,0,2,5,7,21,3,0.0,0.0,0,0
4898,negative,13/5/20,"This product had pretty good reviews so I thought it would be safe to buy 4 packages, so I did. Boy am I full of regret now. I'm stuck with 4 packs of these beans and I can't return any them. The moment I opened the bag, I should've known. It had a stale sour smell to them. But the optimistic side of me said, these beans look fresh and plump, maybe it won't smell like that once I scrape the seeds out. I was wrong. I made two test batches to see if it was the salt I was using to make my vanilla salt but they both have that weird sour, rancid smell. I've made vanilla salt before so I know what it's supposed to smell and taste like. Unfortunately, even after a few days, this smell isn't going away. I was really looking forward to making jars of vanilla salt to give out as cheap gifts. But now I need to go buy more vanilla beans to replace these which is going to end up costing me. I'm so disappointed. I haven't cooked with these seeds so I don't know if the taste and smell transforms with heat or with any other mixed in ingredient. I know for sure though that if you're looking to make vanilla extract, vanilla sugar or vanilla salt, I HIGHLY discourage you from buying this product.",product pretty good review think would safe buy package boy full regret stuck pack bean return moment open bag know stale sour smell optimistic side say bean look fresh plump maybe smell like scrape seed wrong make two test batch see salt use make vanilla salt weird sour rancid smell make vanilla salt know suppose smell taste like unfortunately even day smell go away really look forward make jar vanilla salt give cheap gift need go buy vanilla bean replace go end cost disappointed cooked seed know taste smell transform heat mixed ingredient know sure though look make vanilla extract vanilla sugar vanilla salt highly discourage buying product,248,1,HIGHLY,0.003717,24,1,24,47,108,269,8,0.2748,0.587716,0,1
5314,negative,14/5/21,"I've heard people describe horrible food as tasting like cardboard before.  I never quite knew what they meant until now.  This really does taste like cardboard.  I don't think I could give these a way.  They are trash.  Don't waste your money. Here is a better low carb sweet snack <a href=""http://www.amazon.com/gp/product/B000ZT15EQ"">Blue Diamond Almonds Cinnamon Brown Sugar, 8-Ounce Jars (Pack of 6)</a>",heard people describe horrible food taste like cardboard never quite knew meant really taste like cardboard think could give way trash waste money well low carb sweet snack blue diamond almond cinnamon brown sugar jar pack,81,0,,0.0,14,0,3,20,36,85,4,0.5233,0.375,0,1
2132,positive,24/10/21,"This sauce has a unique flavor and a decent kick. I like a very hot sauce and this is not as strong as my usual choice. It does, however, have a very unique flavor that I enjoyed. I have used it on a number of dishes and was really impressed with the way it jazzed up my homemade vegetable soup. I will be buying this again.",sauce unique flavor decent kick like hot sauce strong usual choice however unique flavor enjoy use number dish really impressed way jazz homemade vegetable soup buying,69,0,,0.0,7,0,1,13,26,73,0,0.9134,0.75,1,0
5029,negative,12/8/21,"I was anxious to try these cups since they seemed to be sealed like the original K-Cups, but was very disappointed in the product.  Though the cups came with no instructions, it was apparent that you just put the filter in, add coffee, then pop the lid on.  Trouble is, the filters size and shape indicate they should hang over the outside edge of the cup, but when doing that I found it impossible to seal the cups.  So I had to tuck the filter inside to be able to close and seal the lid.  After doing that and trying, the coffee ran VERY slow though the K-Cup and after only about three cups, the Keurig machine seemed to get clogged up and stop working.  I cleaned out with vinegar and tried again, but same result.  I ended up throwing these away as it didn't seem worth the effort to return them.  NOT a good product!",anxious try cup since seem seal like original disappointed product though cup come instruction apparent put filter add coffee pop lid trouble filter size shape indicate hang outside edge cup find impossible seal cup tuck filter inside able close seal lid try coffee run slow though three cup keurig machine seem get clog stop working clean vinegar tried result end throw away seem worth effort return good product,167,2,"VERY, NOT",0.011494,17,1,10,30,68,174,4,0.3182,0.54375,0,0
4693,negative,1/7/18,"I can't believe I didn't check out the ingredients for this.  I never would have bought it if I would have known there was artificial sweetener in it!  First cup though, I got that weird after taste it gives and that was all she wrote.  If you don't have a problem with a chemical taste or concerns about health problems, you may like it.  Not worth it to us.",believe check ingredient never would buy would know artificial sweetener first cup though get weird taste give write problem chemical taste concern health problem may like worth us,74,0,,0.0,7,0,5,12,28,79,2,-0.4019,0.608333,0,0
2815,positive,17/4/21,"I enjoy the flavor and benefits of fresh wheat grass but it is difficult to keep on hand. This powder seems to offer the same ""punch"" as well as tasting good. I'm very pleased with the product and now rely solely on it.",enjoy flavor benefit fresh wheat grass difficult keep hand powder seem offer punch well taste good pleased product rely solely,47,0,,0.0,3,0,2,9,20,49,1,0.9442,0.72,0,0
4538,negative,6/9/21,Not happy with the product.  Once they were cooked the potatoes were flat and didn't look any thing like the product picture that was seen.  The shipping cost as much as the potatoes did!,happy product cook potato flat look thing like product picture see ship cost much potato,38,0,,0.0,3,0,2,8,15,38,1,0.7351,0.441667,1,0
3761,positive,14/10/21,"These were freakin awesome. All 10 LBs were top quality, and better than many restaurants.<br /><br />Ordering my second batch now.<br /><br />How I prepare them: place several legs in a pot of boiling water for about a minute, or less if you stir em.<br /><br />They are already cooked so you just want to heat them up. Cooking them further will ruin them. The end piece will piece will take a bit longer.",freakin awesome lb top quality well many restaurant order second batch prepare place several leg pot boil water minute less stir already cook want heat cook ruin end piece piece take bit longer,101,0,,0.0,25,0,3,17,33,102,5,0.5423,0.344444,1,1
2999,positive,2/12/20,Purchased this water at first due to the fact I needed the water bottle to fit into a drink holder/case.  It was a win win situation because it tasted great too!,purchased water first due fact need water bottle fit drink win win situation taste great,32,0,,0.0,2,0,2,7,15,33,1,0.9349,0.443056,3,0
2629,positive,8/7/20,"I have tried lots of different protein bars but the main problem is always the same, they taste like protein bars. This is my favorite because it tastes like eating a normal chocolate waffer candy bar. Chocolate is my favorite, followed by peanut butter. Great for a snack, I take one with me when I go out with friends so I have a tasty healthy treat.",tried lot different protein bar main problem always taste like protein bar favorite taste like eat normal chocolate waffer candy bar chocolate favorite follow peanut butter great snack take one go friends tasty healthy treat,69,0,,0.0,7,1,4,16,35,73,1,0.9633,0.690476,1,0
88,positive,23/9/21,"Right now I own 3 cats that I found outside, a good eight years ago, and I found another cat which I adopted also.  I have always fed them Eukanuba Adult Lamb&Rice dry cat food, and they truly LOVE IT!  When you first open the bag you can smell the savory aroma!  Of the 3 cats that I found outdoor and adopted, one turned out to be a Turkish Angora and the other has markings similar to that of a snow leopard, and the third cat I found out is part Egyptian mau.  I also feed a feral cat who has been living in my back yard for 10 years.  They all love this food, and even when they changed the formula of this food a few years ago, they still eat it and love it!  If you read the ingredients, it is excellently made, and a real plus for their diet!  They've been eating it for years now, and I have yet to see any of my cats turn up their nose to this food.<br /><br />The other dry foods that my cats love is Fancy Feast Gourmet Filet Mignon Flavor with Real Seafood & Shrimp Dry Cat Food and they've just started eating Eagle Pack Natural Pet Food, Indoor Formula for Cats and a cat food brand called 'Artemis'.  I haven't any problems with them eating any of these dry foods, and I've been rescuing cats for over 30 years now, and have owned as many as 7 cats at one time.  One set of kittens were born outdoor and I brought them indoors with their mother and kept them all until the day they passed on(they all lived to be close to 20 years of age) and they too ate Eukanuba lamb&rice and loved it!<br /><br />I have had foods that they turned up their nose with like 'Chicken Soup' and 'Taste of the Wild'.  The same way we humans have our likes and dislikes is the same way that these cats have their likes and dislikes.  What's good for one cat might not be good for another.  You just have to learn your cat, and see what they like and just give it to them.  While my cats are in love with Eukanuba lamb&rice, maybe your cat will also or maybe not, but it isn't fair to not try this food because of a review where the owner says that their cat doesn't like it. As previously stated, maybe your cat will not like it or maybe your cat will love it!  I've tried cat foods based on good reviews figuring that the food will automatically be a hit and sometimes it was and sometimes it wasn't!  It's all up to the cat!",right cat find outside good eight year ago find another cat adopt also always feed eukanuba adult lamb rice dry cat food truly love first open bag smell savory aroma cat find outdoor adopt one turned turkish angora marking similar snow leopard third cat find part egyptian mau also fee feral cat live back yard year love food even change formula food year ago still eat love read ingredient excellently make real plus diet eating year yet see cat turn nose food dry food cat love fancy feast gourmet filet mignon flavor real seafood shrimp dry cat food start eat eagle pack natural pet food indoor formula cat cat food brand call problem eat dry food rescue cat year own many cat one time one set kitten born outdoor bring indoors mother keep day pass live close year age ate eukanuba lamb rice love food turn nose like soup wild way human like dislike way cat like dislike good one cat might good another learn cat see like give cat love eukanuba lamb rice maybe cat also maybe fair try food review owner say cat like previously state maybe cat like maybe cat love try cat food base good review figure food automatically hit sometimes sometimes cat,512,2,"LOVE, IT",0.003788,56,5,28,101,207,528,13,0.9964,0.505159,9,0
988,positive,10/7/20,"These tomatoes seem very soft for dried tomatoes, which is great! They are also very flavorful. I've been using them in a coconut curry and I don't even bother soaking them to soften them, I just throw 5 of them (five halves) in the vita-mix with everything but the coconut milk, blend for a minute and then simmer together with the coconut milk. Delicious! I originally purchased these because I had some raw food recipes that called for quite a bit of dried tomatoes and these seem nearly perfect for that (the thing that makes them less than perfect to me is that they aren't organic) but 3 pounds is still so much I gave one bag to my boyfriend who thinks I'm weird for giving him a pound of dried tomatoes but once I give him the coconut curry recipe he'll be thanking me.<br /><br />Oh, and the bags zip lock shut after they're opened, which is a nice touch.",tomato seem soft dry tomato great also flavorful use coconut curry even bother soak soften throw five half everything coconut milk blend minute simmer together coconut milk delicious originally purchase raw food recipe call quite bit dried tomato seem nearly perfect thing make less perfect organic pound still much give one bag boyfriend think weird give pound dry tomato give coconut curry recipe thank oh bag zip lock shut open nice touch,180,0,,0.0,20,2,10,32,72,188,8,0.9525,0.627804,4,0
1877,positive,13/9/21,This was the 2nd time I tried Pamela's bread mix & it's the closest to regular bread that I have found.  Great Product.,time try pamela bread mix close regular bread find great product,25,0,,0.0,3,0,2,4,11,27,2,0.6249,0.413462,1,0
5257,negative,30/10/20,The Lowrey's Microwave Pork rinds that I received was unacceptable.  I ordered 36 bags and the bags only popped 1/4 of the bag.  All rinds popped but for the amount of the money that I paid for them I could have gone to the store and bought a $2.00 bag already popped and gotten a full bag.  I feel that it should have popped at least half of the bag.  I understand that everyone is counting their pennies but I also think that the consumer should get something for their money.  I really enjoy this product but I probably will not order any more for this reason.,lowrey microwave pork rind receive unacceptable order bag bag pop bag rind pop amount money pay could go store bought bag already pop gotten full bag feel pop least half bag understand everyone counting penny also think consumer get something money really enjoy product probably order reason,106,0,,0.0,7,0,7,24,47,115,1,0.024,0.404167,0,0
1301,positive,1/4/21,I'm grateful for my Keurig coffee maker!  The taste of Green Mountain brand Dark Magic is terrific & got used up real fast!,grateful keurig coffee maker taste green mountain brand dark magic terrific get used real fast,25,0,,0.0,3,0,1,11,15,26,2,0.7269,0.72,0,0
4294,negative,17/10/20,I needed some of these in a rush and ordered online. There is no difference between this and the ones I get in the store locally except the price which is 10 times more.,need rush order online difference one get store locally except price time,34,0,,0.0,2,1,0,9,12,36,0,0.0,0.0,0,0
3459,positive,27/2/20,This is probably the best tasting zero calorie flavored water Ive ever had. Becareful though this does have sugar alcohol in it and if you have too much it can cause bowel discomfort.,probably best taste zero calorie flavor water ever becareful though sugar alcohol much cause bowel discomfort,35,0,,0.0,2,1,0,8,16,35,1,0.34,0.25,1,0
2267,positive,31/8/21,"I was a little bit hesitant to order this many boxes of potato dumplings without knowing the brand. It turns out that the taste and texture is very similar to the brand names,excellent! For an off-brand the price is too high, but altogether a great product for those who miss their Knoedel on the plate next to the roast and gravy!",little bit hesitant order many box potato dumpling without know brand turn taste texture similar brand name excellent price high altogether great product miss knoedel plate next roast gravy,66,0,,0.0,5,0,2,16,29,67,3,0.7832,0.527143,2,0
